Day,Infections,Deaths
1,4,0
2,10,1
3,10,1
4,20,1
5,30,2
6,40,2
7,96,2
8,124,2
9,138,2
10,147,2
11,160,2
12,170,2
13,173,3
14,166,3
15,174,4
16,178,5
17,170,5
18,180,6
19,232,6
20,268,6
21,301,6
22,316,5
23,359,6
24,424,5
25,480,5
26,470,6
27,459,7
28,469,7
29,537,7
30,613,7
31,650,8
32,695,8
33,687,8
34,691,9
35,730,10
36,762,11
37,719,11
38,741,11
39,710,11
40,723,11
41,707,10
42,682,10
43,638,9
44,638,9
45,593,10
46,597,10
47,633,10
48,635,10
49,600,11
50,567,12
51,521,12
52,488,12
53,422,11
54,348,11
55,339,11
56,334,10
57,306,10
58,278,10
59,243,10
60,219,10
61,202,11
62,193,9
63,169,9
64,144,8
65,125,7
66,113,5
67,109,5
68,100,4
69,98,4
70,106,3
71,101,4
72,97,4
73,77,4
74,74,4
75,74,3
76,60,3
77,60,2
78,57,2
79,51,2
80,55,2
81,56,3
82,56,2
83,60,2
84,53,2
85,47,2
86,42,2
87,39,2
88,38,2
89,40,2
90,41,2
91,40,1
92,41,1
93,43,1
94,41,1
95,38,0
96,33,0
97,27,1
98,23,1
99,20,1
100,17,1
101,15,1
102,13,1
103,12,1
104,12,1
105,8,1
106,7,1
107,5,1
108,3,1
109,3,1
110,3,1
111,2,1
112,3,1
113,2,1
114,2,1
115,3,0
116,4,0
117,5,0
118,6,0
119,7,0
120,8,0
121,8,0
122,7,0
123,6,0
124,,
125,,
126,,
127,,
128,,
129,,
130,,
